id,problem,solution
11,"[[null,null,null,null,null,null,null,null,null],[6,null,null,7,2,5,null,null,8],[null,null,null,null,null,null,9,3,null],[null,null,8,5,null,7,null,null,null],[null,null,null,null,null,null,7,null,null],[null,null,5,4,3,null,null,null,2],[8,1,null,null,null,null,null,2,null],[5,null,null,null,9,null,null,1,null],[null,9,null,3,null,null,4,null,null]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[8,1,3,6,7,4,5,2,9],[5,4,7,8,9,2,6,1,3],[2,9,6,3,5,1,4,8,7]]"
12,"[[null,null,null,9,null,3,null,null,5],[null,null,null,7,null,null,1,4,null],[null,null,2,null,4,null,null,3,null],[9,null,null,null,null,null,null,6,null],[3,null,null,null,8,null,null,null,null],[1,null,null,null,null,null,null,9,null],[8,1,null,null,null,4,null,2,null],[null,null,null,3,null,1,4,null,null],[5,4,null,null,9,null,null,null,null]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[8,1,3,6,7,4,5,2,9],[2,9,6,3,5,1,4,8,7],[5,4,7,8,9,2,6,1,3]]"
13,"[[null,null,null,null,6,null,2,null,5],[null,3,null,7,2,null,null,4,null],[7,null,null,1,4,null,null,null,null],[9,null,null,null,null,null,3,null,4],[null,null,null,2,null,null,null,null,null],[1,null,null,4,null,null,null,null,null],[null,1,null,null,null,null,5,2,null],[null,null,7,null,null,null,null,8,9],[5,null,6,8,null,null,null,null,3]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[8,1,3,6,9,4,5,2,7],[2,4,7,3,5,1,6,8,9],[5,9,6,8,7,2,4,1,3]]"
14,"[[null,null,1,null,null,null,null,null,null],[null,null,null,null,null,5,1,4,8],[null,5,null,null,null,null,null,null,6],[null,null,null,null,1,null,3,null,null],[3,null,null,2,8,9,null,null,null],[1,null,null,null,3,null,null,null,2],[null,null,null,6,null,4,5,null,null],[null,9,6,null,null,null,null,null,null],[2,4,null,3,null,null,null,8,null]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[8,1,3,6,9,4,5,2,7],[5,9,6,8,7,2,4,1,3],[2,4,7,3,5,1,6,8,9]]"
15,"[[4,8,1,null,null,null,null,null,5],[6,null,9,null,null,null,null,4,null],[null,null,2,1,null,null,null,null,null],[null,null,null,null,null,7,3,null,null],[null,null,null,2,null,null,null,5,1],[null,null,5,null,null,6,null,null,null],[null,9,null,null,5,null,4,null,7],[null,null,null,8,null,2,null,null,null],[null,null,6,3,null,null,null,8,null]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[8,9,3,6,5,1,4,2,7],[5,4,7,8,9,2,6,1,3],[2,1,6,3,7,4,5,8,9]]"
16,"[[4,8,null,9,null,null,null,null,null],[null,null,9,null,null,5,null,null,null],[null,null,null,1,4,null,9,null,null],[null,null,null,null,null,7,null,6,null],[3,null,null,null,null,null,null,5,1],[null,7,null,4,null,6,8,null,null],[null,null,null,6,null,null,null,2,7],[null,null,6,null,7,null,5,null,null],[5,null,null,null,null,2,null,1,null]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[8,9,3,6,5,1,4,2,7],[2,1,6,3,7,4,5,8,9],[5,4,7,8,9,2,6,1,3]]"
17,"[[null,null,1,null,null,3,null,null,null],[6,null,null,7,2,null,null,null,null],[7,null,2,null,null,8,null,3,null],[null,2,null,null,null,null,null,null,null],[null,null,4,2,null,9,null,5,null],[null,null,null,null,3,null,null,9,null],[null,9,null,null,null,2,4,null,null],[null,null,null,3,7,null,5,8,null],[null,1,null,null,9,null,6,null,3]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[8,9,3,6,5,2,4,1,7],[2,4,6,3,7,1,5,8,9],[5,1,7,8,9,4,6,2,3]]"
18,"[[null,null,1,null,null,3,null,7,null],[6,null,null,null,null,null,1,null,null],[null,null,2,null,null,8,null,3,null],[null,null,null,5,1,null,3,6,null],[null,null,null,null,null,null,null,null,null],[null,7,null,null,null,null,null,null,null],[8,9,null,null,null,2,null,null,null],[null,null,null,3,7,4,null,8,null],[5,null,7,8,null,null,null,null,null]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[8,9,3,6,5,2,4,1,7],[2,1,6,3,7,4,5,8,9],[5,4,7,8,9,1,6,2,3]]"
19,"[[null,8,1,null,null,null,null,7,null],[6,null,null,7,null,null,null,4,null],[7,null,null,null,null,8,null,null,null],[null,2,null,null,1,null,null,6,null],[3,6,null,null,null,null,null,null,1],[null,null,null,null,3,null,null,null,2],[null,null,3,6,5,null,null,1,null],[null,null,7,8,null,null,null,null,3],[null,4,null,3,null,null,null,null,null]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[8,9,3,6,5,2,4,1,7],[5,1,7,8,9,4,6,2,3],[2,4,6,3,7,1,5,8,9]]"
20,"[[null,null,1,9,6,null,null,7,null],[null,3,null,null,null,null,1,null,8],[null,null,2,null,4,null,null,null,null],[null,null,null,null,null,7,null,6,null],[null,null,null,null,8,null,7,null,null],[null,null,null,null,3,null,null,9,null],[8,9,null,null,5,null,null,null,null],[5,null,null,8,null,1,null,null,3],[null,null,6,null,null,null,null,null,null]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[8,9,3,6,5,2,4,1,7],[5,4,7,8,9,1,6,2,3],[2,1,6,3,7,4,5,8,9]]"
21,"[[4,null,1,9,null,3,null,null,null],[null,null,null,null,null,null,null,null,8],[null,null,null,1,null,8,null,null,null],[null,null,null,5,null,null,null,null,4],[3,null,null,null,null,null,7,5,null],[1,null,null,null,null,6,null,null,null],[8,9,null,null,5,null,null,null,null],[null,null,6,null,null,null,5,null,null],[null,null,3,null,9,null,6,1,null]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[8,9,7,6,5,1,4,2,3],[2,1,6,3,7,4,5,8,9],[5,4,3,8,9,2,6,1,7]]"
22,"[[null,8,null,null,null,null,null,7,null],[6,null,null,null,null,null,null,4,8],[null,null,2,1,4,null,null,null,null],[null,null,null,null,null,7,3,null,null],[null,null,null,null,null,null,null,5,1],[null,7,5,null,3,null,null,9,null],[null,null,null,null,5,null,null,null,3],[2,null,null,null,9,null,null,null,null],[null,null,null,8,null,2,6,null,null]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[8,9,7,6,5,1,4,2,3],[2,1,6,3,9,4,5,8,7],[5,4,3,8,7,2,6,1,9]]"
23,"[[null,null,null,null,null,null,null,7,5],[null,null,null,7,null,null,1,4,null],[null,5,null,null,null,null,9,3,null],[9,null,null,null,1,null,null,null,null],[3,null,null,2,null,null,7,null,null],[null,null,null,null,null,6,8,null,null],[null,9,null,null,5,1,null,null,3],[null,4,null,null,9,null,null,null,null],[2,null,null,null,null,4,null,null,null]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[8,9,7,6,5,1,4,2,3],[5,4,3,8,9,2,6,1,7],[2,1,6,3,7,4,5,8,9]]"
24,"[[null,null,1,null,null,null,null,7,5],[6,3,null,7,null,null,null,null,null],[null,null,null,1,4,null,9,null,null],[null,2,null,null,null,null,null,6,4],[3,null,4,null,null,null,null,null,1],[1,null,null,null,3,null,null,null,2],[null,9,null,null,null,1,null,null,null],[5,4,3,null,7,null,null,null,null],[null,null,null,3,null,null,null,8,null]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[8,9,7,6,5,1,4,2,3],[5,4,3,8,7,2,6,1,9],[2,1,6,3,9,4,5,8,7]]"
25,"[[null,null,null,null,null,null,2,7,null],[6,null,9,null,null,null,null,4,8],[null,5,null,null,null,null,null,null,null],[null,null,8,null,1,7,null,6,null],[null,null,null,2,8,null,null,null,null],[null,null,null,null,null,6,null,9,null],[8,null,null,null,5,null,null,null,3],[5,null,null,8,null,null,6,null,null],[null,4,null,3,null,null,null,null,9]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[8,9,7,6,5,2,4,1,3],[5,1,3,8,9,4,6,2,7],[2,4,6,3,7,1,5,8,9]]"
26,"[[4,8,null,null,null,3,null,null,null],[null,3,9,null,null,null,null,null,null],[null,null,null,null,null,8,9,null,null],[null,null,null,5,null,null,3,6,null],[null,null,4,2,null,null,null,5,null],[null,null,5,null,3,null,null,null,2],[null,9,null,null,null,2,null,1,3],[null,1,null,null,null,4,null,null,9],[null,null,6,null,null,null,5,null,null]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[8,9,7,6,5,2,4,1,3],[5,1,3,8,7,4,6,2,9],[2,4,6,3,9,1,5,8,7]]"
27,"[[null,null,null,null,null,null,null,null,null],[6,null,null,null,null,5,null,4,8],[null,null,2,null,null,8,9,null,6],[null,2,8,null,null,null,null,null,null],[null,null,null,null,null,null,7,null,null],[1,null,5,4,null,6,null,null,null],[null,9,null,6,null,null,null,null,3],[null,null,null,null,7,null,6,2,null],[null,1,null,null,9,4,null,null,null]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[8,9,7,6,5,2,4,1,3],[5,4,3,8,7,1,6,2,9],[2,1,6,3,9,4,5,8,7]]"
28,"[[null,null,1,null,6,null,null,null,null],[6,3,null,null,null,5,null,4,null],[null,5,2,null,null,null,null,null,null],[null,null,null,null,null,null,3,null,null],[null,null,null,2,null,9,7,null,1],[null,null,5,4,null,6,null,null,2],[null,null,7,null,null,null,null,null,null],[null,4,null,null,null,1,null,null,7],[null,1,null,3,null,4,null,null,null]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[8,9,7,6,5,2,4,1,3],[5,4,3,8,9,1,6,2,7],[2,1,6,3,7,4,5,8,9]]"
29,"[[null,null,null,null,null,3,null,null,5],[6,null,null,null,2,null,null,null,null],[null,null,2,1,null,null,null,3,null],[null,null,null,null,null,7,null,6,null],[null,null,4,null,8,null,null,null,null],[1,null,5,4,null,null,null,9,null],[null,9,null,6,null,2,4,1,null],[null,1,null,null,7,null,null,null,null],[null,null,null,null,null,null,null,2,7]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[8,9,7,6,5,2,4,1,3],[2,1,6,3,7,4,5,8,9],[5,4,3,8,9,1,6,2,7]]"
30,"[[4,null,null,9,null,null,2,null,null],[null,null,null,null,null,5,1,null,null],[null,null,null,null,null,null,null,null,null],[null,2,null,null,null,null,3,null,4],[3,null,null,2,null,null,null,null,null],[null,7,5,null,null,6,8,null,2],[8,null,7,null,5,null,null,1,null],[2,null,null,null,null,4,null,null,7],[null,null,null,null,null,1,null,null,9]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[8,9,7,6,5,2,4,1,3],[2,1,6,3,9,4,5,8,7],[5,4,3,8,7,1,6,2,9]]"
31,"[[null,null,null,9,null,null,null,null,5],[null,null,9,null,2,5,null,null,8],[null,null,null,null,null,null,null,null,null],[9,null,null,null,1,null,null,null,4],[3,6,null,2,null,null,null,null,null],[null,null,5,null,3,6,8,null,null],[null,null,null,null,null,null,4,null,3],[2,null,null,null,null,1,null,null,null],[5,1,null,null,null,null,6,null,9]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[8,9,7,6,5,2,4,1,3],[2,4,6,3,9,1,5,8,7],[5,1,3,8,7,4,6,2,9]]"
32,"[[null,null,null,9,null,3,2,null,null],[null,null,null,7,2,null,null,null,null],[null,5,null,null,null,null,null,null,null],[null,null,8,null,null,null,3,null,4],[null,6,null,null,null,null,7,5,null],[1,7,null,null,null,null,null,9,null],[8,null,null,null,null,null,4,1,3],[null,null,null,null,7,null,null,null,null],[null,null,3,8,null,4,null,null,null]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[8,9,7,6,5,2,4,1,3],[2,4,6,3,7,1,5,8,9],[5,1,3,8,9,4,6,2,7]]"
33,"[[null,null,null,9,6,3,null,7,null],[6,3,null,null,null,null,null,4,8],[7,null,null,null,null,null,9,null,null],[null,null,null,5,1,7,null,null,null],[null,6,null,null,null,9,null,5,null],[1,null,null,null,null,null,null,null,null],[null,null,null,null,5,null,null,null,null],[null,null,null,8,null,2,null,null,9],[2,1,null,6,null,null,null,null,3]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[8,9,6,3,5,1,4,2,7],[5,4,3,8,7,2,6,1,9],[2,1,7,6,9,4,5,8,3]]"
34,"[[4,8,null,null,null,3,null,null,null],[6,null,9,null,2,5,null,null,null],[7,null,null,null,null,null,9,null,6],[null,null,null,null,null,null,null,null,null],[null,null,4,2,null,9,null,null,null],[null,null,5,null,3,null,null,null,2],[8,null,null,3,null,null,null,2,null],[null,null,null,null,null,null,6,null,null],[null,1,null,6,7,4,null,8,null]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[8,9,6,3,5,1,4,2,7],[5,4,7,8,9,2,6,1,3],[2,1,3,6,7,4,5,8,9]]"
35,"[[null,null,null,9,6,null,2,null,null],[6,null,null,null,null,null,null,4,8],[null,null,null,null,null,8,null,3,null],[9,null,null,5,null,null,3,null,null],[3,null,null,null,null,null,7,null,1],[1,null,null,4,null,null,null,null,null],[8,9,null,null,null,null,4,null,7],[null,null,7,null,null,null,null,8,null],[null,null,null,null,7,null,6,1,null]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[8,9,6,3,5,1,4,2,7],[2,1,7,6,9,4,5,8,3],[5,4,3,8,7,2,6,1,9]]"
36,"[[null,null,null,9,null,null,null,7,null],[null,3,null,null,null,null,null,null,null],[7,5,2,1,null,null,null,null,null],[9,null,null,5,1,null,null,null,4],[null,null,null,null,null,null,null,5,1],[null,null,null,null,null,6,null,9,null],[null,null,null,null,null,null,null,2,null],[2,1,3,null,null,4,null,null,null],[null,4,null,8,null,null,6,null,null]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[8,9,6,3,5,1,4,2,7],[2,1,3,6,7,4,5,8,9],[5,4,7,8,9,2,6,1,3]]"
37,"[[null,null,null,9,null,null,2,null,null],[null,3,null,7,null,5,null,null,null],[null,null,2,null,null,null,null,null,6],[9,null,8,null,null,7,null,6,null],[null,null,4,null,null,null,7,null,1],[null,null,null,null,3,null,null,null,null],[null,null,6,null,5,null,4,null,null],[5,null,7,null,null,4,null,2,null],[null,null,null,6,null,1,null,null,null]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[8,9,6,3,5,2,4,1,7],[5,1,7,8,9,4,6,2,3],[2,4,3,6,7,1,5,8,9]]"
38,"[[null,8,null,null,null,null,null,7,null],[null,null,null,null,2,5,null,null,8],[null,5,2,1,null,null,9,3,null],[null,null,null,null,null,null,null,null,4],[null,6,4,null,null,null,7,5,1],[null,7,null,null,null,6,null,null,null],[null,null,6,3,5,null,4,null,null],[null,null,null,null,7,null,null,2,null],[null,null,null,6,9,1,null,null,null]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[8,9,6,3,5,2,4,1,7],[5,1,3,8,7,4,6,2,9],[2,4,7,6,9,1,5,8,3]]"
39,"[[4,null,null,null,6,3,null,7,null],[null,null,null,null,2,null,1,4,null],[null,null,null,null,4,8,9,null,null],[null,null,8,5,null,null,null,6,null],[3,null,null,null,null,null,null,null,null],[null,null,null,null,3,6,null,null,2],[8,null,6,null,null,null,null,null,null],[null,null,null,null,7,null,null,2,null],[null,1,7,null,null,null,5,null,null]]","[[4,8,1,9,6,3,2,7,5],[6,3,9,7,2,5,1,4,8],[7,5,2,1,4,8,9,3,6],[9,2,8,5,1,7,3,6,4],[3,6,4,2,8,9,7,5,1],[1,7,5,4,3,6,8,9,2],[8,9,6,3,5,2,4,1,7],[5,4,3,8,7,1,6,2,9],[2,1,7,6,9,4,5,8,3]]"
